StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
30,5,201102,3.66,25.1,1.21,1.21,1.6,1.21,0,1117,0.96,0.43,0.52,0.86,0.49,0.29,0.8,14.1,36.1
30,8,201102,2.64,18.4,2.37,2.37,0.53,1.23,0,1305,0.43,-0.83,-0.82,1.28,2.25,1.38,0.81,8.5,28.3
30,3,201103,5.35,26.2,2.01,2.01,2.84,1.54,0,1203,1.51,1.42,0.6,1.03,1.21,1.09,0.69,16,36.3
30,10,201103,3.01,31.7,2.75,2.75,0.88,2.75,0,1032,0.52,1.23,0.65,1.21,1.31,1.37,0.98,23.1,40.3
30,7,201103,5.09,28.1,3.84,3.84,3.85,3.84,0,1144,1.93,2.07,1.55,2.15,2.09,1.65,1.61,18.8,37.5
30,9,201103,3.82,31.5,2.37,2.37,2,2.37,0,1038,1.16,1.44,0.73,0.93,1.01,1.1,0.84,23.1,39.9
30,5,201103,5.2,35.2,1.9,1.9,2.44,1.9,0,924,1.26,1.43,1.15,1.52,0.88,0.25,1.06,25.7,44.6
30,6,201103,4.45,30.1,1.84,1.84,1.8,1.7,0,1082,0.93,1.12,0.59,1.12,0.91,0.68,0.6,21,39.3
30,8,201103,4.49,28.5,3.22,3.22,3.3,3.21,0,1132,1.72,1.46,0.5,1.32,1.86,1.85,1.2,19.1,37.9
30,1,201103,4.21,30.8,3,3,2.34,3,0,1060,1.33,2.14,1.53,1.97,1.4,1.29,1.13,21.3,40.3
30,2,201103,4.87,31.1,2.17,2.17,2.6,2.17,0,1051,1.3,1.57,1.05,1.81,1.23,0.8,1.22,21.7,40.6
30,4,201103,3.56,40.8,-2.42,-2.42,-0.84,-2.42,0,750,-0.26,-0.16,-0.22,-0.41,-0.85,-1.43,0.7,32.5,49.1
30,4,201104,4.83,50.7,-1.95,-1.95,0.67,-1.6,0,429,0.7,0.24,0.23,-0.31,-0.54,-0.99,0.73,42.7,58.8
30,6,201104,6.71,44.7,3.15,3.15,4.51,3.15,0,609,2.39,2.31,2.25,1.07,1.78,1.69,1.14,34.3,55.1
30,2,201104,7.26,45.4,3.67,3.67,5.17,3.67,0,588,2.4,2.43,2.64,1.65,1.99,1.63,1.73,35.4,55.4
30,7,201104,6.91,42.9,5.44,5.44,6,5.44,0,663,2.78,3.09,3.08,2.25,2.78,2.36,2.19,32.8,53.1
30,1,201104,7.05,45.2,4.73,4.73,6.11,4.73,0,594,2.59,2.78,3.09,2.73,2.09,2.12,1.7,35.2,55.1
30,10,201104,6.64,45.6,4.44,4.44,5.92,4.44,0,582,2.68,2.45,2.62,1.79,1.85,2.09,1.51,36,55.2
30,5,201104,5.56,48.3,2.46,2.46,2.27,2.46,0,501,1.44,1.7,1.85,1.19,1.4,0.81,1.31,38,58.6
30,9,201104,6.4,45.4,3.96,3.96,5.5,3.96,0,588,2.76,2.65,2.92,1.68,1.61,2.05,1.29,35.9,54.8
30,3,201104,8.29,40.7,4.12,4.12,6.96,4.12,0,729,3.09,3.09,3.09,1.34,2.31,2.43,1.44,30.6,50.7
30,8,201104,6.18,43.7,4.42,4.42,4.58,4.42,0,639,2.58,3.02,2.74,1.06,2.47,2.47,1.64,33.5,53.9
30,1,201105,7.08,57.8,5.57,5.57,3.99,5.57,22,245,1.97,2.49,2.82,3.09,3.02,2.57,2.17,47.1,68.5
30,8,201105,6.37,56.6,5.2,5.2,3.72,5.2,14,274,2.02,2.66,2.91,2.19,2.48,3.07,2,46.7,66.5
30,6,201105,5.89,58.9,3.41,3.41,1.75,3.41,25,214,1.31,2.18,2.43,1.79,1.79,2.34,1.2,48.7,69.1
30,4,201105,3.81,61.5,-1.91,-1.91,-0.49,-1.71,27,136,0.14,0.54,0.29,0.05,-0.16,-0.8,0.66,53.2,69.8
30,2,201105,6.22,58.2,3.99,3.99,2.1,3.99,18,229,1.55,2.46,2.81,2.42,2.3,2.18,1.89,48,68.4
30,7,201105,7.53,56.4,6.56,6.56,5.04,6.56,12,279,2.45,3.09,3.09,3.09,3.01,3.09,2.39,46.7,66
30,3,201105,7.64,55.4,4.99,4.99,3.88,4.99,10,308,2.22,3.09,3.09,2.59,2.44,3.09,1.65,45.3,65.4
30,5,201105,5.08,60.7,2.45,2.45,0.72,2.45,30,163,0.89,1.42,1.79,1.66,1.67,1.22,1.43,50.6,70.8
30,10,201105,5.3,58.5,4.71,4.71,2.2,4.71,26,227,1.46,2.38,2.51,2.6,2.15,2.49,1.81,49,68
30,9,201105,5.7,58,4.52,4.52,2.91,4.52,21,238,1.78,2.46,2.69,2.57,2.21,2.6,1.61,48.7,67.3
30,3,201106,4.92,61.9,4.88,4.88,1.22,4.88,24,117,0.58,1.77,2.69,2.59,2.5,2.64,1.64,51.5,72.2
30,6,201106,5.44,65.1,3.69,3.69,1.91,3.69,66,63,0.79,1.33,2.05,2.07,2.29,2.1,1.27,54,76.1
30,9,201106,3.04,66.1,3.91,3.91,-0.44,3.68,81,48,-0.13,1.08,2,2.3,1.97,1.99,1.43,56.3,75.9
30,10,201106,2.86,66.2,3.89,3.89,-1.02,3.44,85,49,-0.41,0.64,1.76,1.95,2,2.02,1.47,55.8,76.5
